Education,Marital_Status,Income,Kidhome,Teenhome,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,Dependants,Age
PhD,Divorced,46610.0,0,2,96,12,96,33,22,43,2,62
Master,Married,68657.0,0,0,482,34,471,119,68,22,0,68
Master,Single,49389.0,1,1,40,0,19,2,1,3,2,63
PhD,Married,67353.0,0,1,702,17,151,0,8,35,1,44
2n Cycle,Married,23718.0,1,0,6,3,14,15,7,36,1,38
Graduation,Widow,42429.0,0,1,55,0,6,2,0,4,1,41
PhD,Divorced,48948.0,0,0,437,8,206,160,49,42,0,71
Graduation,Married,80011.0,0,1,421,76,536,82,178,102,1,34
Master,Married,20559.0,1,0,13,1,29,3,0,7,1,29
Graduation,Together,21994.0,0,1,9,0,6,3,1,3,1,57
Master,Married,7500.0,1,0,3,1,10,3,2,12,1,39
Graduation,Single,79941.0,0,0,123,164,266,227,30,174,0,38
2n Cycle,Married,7500.0,0,0,3,18,14,15,22,50,0,18
Graduation,Together,41728.0,1,0,13,6,15,3,5,13,1,46
PhD,Married,72550.0,1,1,826,50,317,50,38,38,2,60
Graduation,Widow,65486.0,0,1,245,19,125,37,67,14,1,57
Master,Married,79143.0,0,0,650,37,780,27,167,32,0,50
Graduation,Single,35790.0,1,0,12,6,20,30,1,3,1,37
Graduation,Divorced,82582.0,0,0,510,120,550,156,40,241,0,37
Graduation,Married,66373.0,1,1,328,9,124,12,24,109,2,36
Master,Together,82384.0,0,0,984,51,432,180,120,190,0,59
Graduation,Divorced,70287.0,0,0,295,35,482,121,120,40,0,48
Graduation,Single,27938.0,1,0,13,0,8,2,1,5,1,26
PhD,Married,55954.0,0,1,447,0,28,0,0,43,1,46
Master,Single,75777.0,0,0,712,26,538,69,13,80,0,32
Graduation,Together,66653.0,1,1,452,18,102,16,18,6,2,39
Graduation,Single,61823.0,0,1,523,7,134,37,14,169,1,62
PhD,Widow,67680.0,0,1,546,0,48,0,6,6,1,63
Graduation,Together,70666.0,0,0,398,40,367,119,122,30,0,66
Graduation,Married,25721.0,1,0,1,3,6,3,6,15,1,43
Graduation,Together,32474.0,1,1,10,0,1,0,0,0,2,47
2n Cycle,Single,88194.0,0,1,688,14,309,201,24,38,1,35
Graduation,Together,69096.0,0,1,247,49,159,7,82,109,1,56
Graduation,Together,74854.0,1,2,856,59,487,58,29,73,3,44
Master,Married,66991.0,0,0,496,36,460,189,60,12,0,60
Graduation,Married,65031.0,0,1,258,107,291,84,37,86,1,55
PhD,Married,60631.0,1,1,565,6,65,0,6,19,2,39
Graduation,Married,28332.0,0,0,14,10,13,4,15,9,0,62
Graduation,Divorced,40246.0,1,0,2,1,6,2,1,1,1,37
Master,Married,75251.0,0,0,721,111,925,97,18,18,0,42
Graduation,Single,75825.0,0,0,1032,105,779,137,105,51,0,38
2n Cycle,Together,26326.0,0,0,1,0,5,0,3,9,0,38
Graduation,Together,56046.0,0,0,577,0,64,0,0,51,0,49
Graduation,Single,29760.0,1,0,64,4,68,7,5,17,1,29
Graduation,Married,26304.0,1,0,4,1,5,2,0,4,1,45
2n Cycle,Married,23559.0,1,0,25,5,19,7,0,23,1,41
Master,Together,38620.0,0,0,112,17,44,34,22,89,0,51
Graduation,Divorced,81361.0,0,0,163,23,424,27,65,76,0,27
Graduation,Married,29440.0,1,1,17,8,14,10,4,3,2,54
Master,Married,36138.0,1,1,130,0,16,0,0,5,2,44
Graduation,Single,50388.0,0,1,292,6,37,0,3,34,1,57
Graduation,Married,79593.0,0,0,350,60,568,110,133,145,0,41
Graduation,Together,54178.0,0,1,135,9,39,4,0,7,1,47
Master,Single,42394.0,1,0,15,2,10,0,1,4,1,42
PhD,Married,23626.0,1,0,27,2,14,0,0,0,1,44
Graduation,Married,30096.0,1,0,5,3,11,12,5,9,1,31
Graduation,Widow,47916.0,0,1,505,0,26,0,0,75,1,54
Graduation,Divorced,51813.0,1,1,51,2,7,0,1,2,2,42
2n Cycle,Married,78497.0,0,0,207,26,447,75,0,223,0,63
PhD,Married,50150.0,0,0,135,46,92,65,61,11,0,31
2n Cycle,Single,47823.0,0,1,53,1,5,2,1,10,1,54
PhD,Single,34554.0,0,1,41,1,6,2,0,5,1,55
Graduation,Together,85693.0,0,1,386,172,183,185,132,111,1,35
PhD,Married,65846.0,0,0,562,81,276,80,40,81,0,69
Graduation,Married,87195.0,0,0,217,76,690,50,26,38,0,55
Basic,Together,24594.0,1,0,1,3,6,10,0,9,1,35
Graduation,Married,49096.0,1,1,144,1,32,2,1,7,2,50
Graduation,Married,52413.0,0,2,295,106,271,75,98,65,2,45
Graduation,Single,38557.0,1,0,76,3,31,4,4,27,1,36
Master,Married,89058.0,0,0,454,194,106,31,22,43,0,54
Graduation,Together,77298.0,0,1,425,115,292,23,35,79,1,35
PhD,Single,68126.0,0,0,1332,17,311,23,51,86,0,23
Master,Together,57288.0,0,1,527,0,21,0,0,60,1,51
Graduation,Single,86037.0,0,0,490,44,125,29,20,22,0,23
PhD,Married,43974.0,1,0,378,0,101,0,0,72,1,34
Graduation,Single,50785.0,1,1,64,1,21,0,1,27,2,52
Graduation,Married,90765.0,0,0,547,99,812,151,82,33,0,44
2n Cycle,Married,36550.0,1,0,47,90,94,123,103,120,1,36
2n Cycle,Together,30753.0,1,1,12,5,25,0,9,30,2,47
Graduation,Together,21918.0,1,0,1,6,7,11,5,3,1,45
Master,Together,56129.0,0,1,320,48,133,39,72,48,1,61
Master,Single,32557.0,1,0,34,3,29,0,4,10,1,47
Master,Married,19510.0,2,0,9,0,7,3,4,7,2,29
Graduation,Divorced,30992.0,1,0,17,0,14,7,3,2,1,38
Graduation,Single,101970.0,0,0,722,27,102,44,72,168,0,31
2n Cycle,Together,71488.0,0,0,162,33,124,40,28,172,0,49
Graduation,Single,79607.0,0,0,450,133,951,173,0,216,0,30
Master,Married,54348.0,1,1,70,0,16,0,0,4,2,61
PhD,Together,77376.0,1,1,492,19,110,16,12,12,2,58
Graduation,Married,62998.0,0,1,120,58,73,65,89,58,1,62
Graduation,Married,73448.0,0,0,236,106,189,23,41,130,0,45
PhD,Married,41551.0,1,1,220,0,33,3,0,23,2,50
PhD,Together,62981.0,0,0,796,14,590,38,44,0,0,47
Basic,Divorced,9548.0,1,0,0,1,3,10,6,9,1,38
PhD,Married,33762.0,2,1,53,1,34,2,0,16,3,55
PhD,Divorced,36921.0,1,1,17,1,12,3,1,4,2,49
Master,Single,92859.0,0,0,962,61,921,52,61,20,0,22
Master,Together,65104.0,0,1,738,0,232,13,20,50,1,38
Graduation,Married,86111.0,0,0,399,28,756,36,40,126,0,52
PhD,Single,68352.0,0,1,614,16,132,43,33,33,1,40
Graduation,Together,41883.0,1,0,32,34,41,73,16,116,1,26
Graduation,Married,59809.0,0,2,598,16,141,32,41,49,2,38
Graduation,Married,23957.0,1,0,2,1,18,20,11,16,1,39
Graduation,Together,38547.0,1,0,6,1,10,0,1,4,1,33
2n Cycle,Married,35688.0,2,1,73,3,90,12,1,32,3,41
Master,Married,49605.0,0,0,42,16,29,12,20,8,0,48
Master,Married,59354.0,0,2,295,21,78,39,13,13,2,61
Graduation,Married,65747.0,0,1,346,17,48,23,13,13,1,45
2n Cycle,Together,46344.0,0,1,233,20,57,8,20,91,1,42
PhD,Together,61010.0,0,1,888,0,57,0,0,76,1,62
Graduation,Together,69372.0,0,0,997,26,269,34,13,42,0,65
Graduation,Single,49967.0,0,1,212,6,69,4,12,3,1,56
Graduation,Single,60199.0,1,2,8,1,7,2,0,0,3,36
Graduation,Together,55375.0,0,1,42,11,57,10,28,14,1,37
Graduation,Single,80317.0,0,0,536,11,387,149,91,57,0,59
Master,Single,30523.0,2,1,5,0,3,0,0,5,3,56
PhD,Married,70356.0,0,0,1349,16,249,43,16,33,0,69
Graduation,Married,23228.0,1,0,53,3,49,7,4,5,1,30
PhD,Divorced,74165.0,0,0,1001,12,240,16,12,12,0,39
PhD,Married,157243.0,0,1,20,2,1582,1,2,1,1,41
Graduation,Together,43482.0,2,1,18,1,32,6,3,28,3,48
Graduation,Divorced,62551.0,0,0,125,16,98,134,21,27,0,61
Graduation,Divorced,52332.0,0,0,212,5,33,7,0,2,0,55
Graduation,Single,66951.0,0,0,277,162,305,173,76,124,0,26
Graduation,Together,26091.0,1,1,15,10,19,8,17,20,2,57
Graduation,Together,33456.0,1,1,7,3,10,8,1,7,2,49
Graduation,Married,28718.0,1,0,12,4,6,11,8,16,1,32
Graduation,Married,50447.0,2,0,85,7,24,2,3,27,2,44
PhD,Together,53537.0,1,1,81,0,6,0,0,6,2,55
Graduation,Single,52074.0,0,1,59,0,12,0,0,48,1,47
PhD,Married,80427.0,0,1,1149,71,449,69,71,26,1,39
PhD,Married,83837.0,0,0,847,66,119,86,89,111,0,66
PhD,Married,38853.0,1,1,29,0,14,0,0,2,2,44
Graduation,Together,38285.0,2,1,2,0,5,2,0,1,3,55
2n Cycle,Married,78497.0,0,0,207,26,447,75,0,223,0,63
PhD,Married,51650.0,0,1,152,3,22,2,5,7,1,38
2n Cycle,Married,16248.0,1,0,12,11,10,3,12,9,1,26
Master,Married,66835.0,0,0,620,26,195,34,17,141,0,68
Master,Married,30477.0,1,0,47,1,6,0,0,12,1,30
Basic,Married,28249.0,0,0,1,9,7,2,14,10,0,53
Graduation,Married,25271.0,1,0,10,1,18,10,4,7,1,31
PhD,Single,32303.0,0,1,35,0,2,0,0,2,1,44
Graduation,Married,61286.0,0,1,356,0,107,19,9,117,1,48
Graduation,Married,74068.0,0,0,783,30,537,140,76,15,0,38
PhD,Married,45759.0,1,1,42,1,18,3,0,4,2,50
Basic,Together,24882.0,1,0,1,4,10,29,0,36,1,36
PhD,Together,66973.0,0,0,466,22,432,147,113,102,0,25
Graduation,Married,38872.0,1,0,23,3,21,3,19,22,1,26
Graduation,Married,51148.0,1,1,235,6,45,8,9,12,2,41
Graduation,Married,31353.0,1,1,10,0,10,3,1,7,2,37
Master,Married,69661.0,0,0,656,16,106,32,16,8,0,34
Graduation,Married,80067.0,0,0,519,17,813,27,173,51,0,60
Graduation,Married,86718.0,0,0,344,189,482,50,33,172,0,60
PhD,Single,46854.0,1,1,96,1,79,7,1,79,2,41
Graduation,Divorced,69142.0,0,1,448,4,34,6,4,39,1,62
Graduation,Single,75922.0,0,0,265,138,553,224,23,92,0,46
Graduation,Divorced,63693.0,0,1,587,43,337,42,87,54,1,36
PhD,Together,102160.0,0,0,763,29,138,76,176,58,0,37
PhD,Single,40637.0,1,1,22,0,13,0,0,3,2,49
Master,Single,18890.0,0,0,6,4,1,7,2,15,0,30
Graduation,Together,29604.0,1,0,7,6,13,7,6,14,1,26
Master,Divorced,48721.0,1,1,81,18,113,47,13,21,2,51
Graduation,Married,44794.0,0,1,54,0,7,0,0,4,1,48
Graduation,Divorced,64497.0,0,1,1170,48,320,42,32,192,1,60
Graduation,Together,46097.0,0,1,72,24,68,65,4,8,1,58
Graduation,Together,77972.0,0,0,613,22,319,33,102,12,0,60
PhD,Married,44377.0,1,1,224,0,30,0,0,10,2,46
Master,Together,46014.0,1,1,410,0,59,19,9,44,2,40
Graduation,Married,70951.0,0,0,239,10,554,254,87,54,0,29
Graduation,Married,41443.0,1,0,171,7,171,25,19,89,1,37
2n Cycle,Single,52195.0,2,1,12,0,4,0,0,1,3,36
Master,Married,83790.0,0,0,1076,16,417,42,48,16,0,66
Master,Widow,44551.0,0,1,182,4,33,0,0,66,1,60
Graduation,Together,69508.0,1,0,824,32,162,42,32,43,1,34
2n Cycle,Together,45204.0,1,0,30,11,25,29,1,18,1,26
Graduation,Married,72460.0,0,0,377,10,540,80,30,10,0,45
PhD,Together,77622.0,0,2,520,7,154,19,0,14,2,44
PhD,Married,30732.0,1,0,155,1,25,0,1,3,1,34
Graduation,Divorced,63887.0,0,1,897,23,207,15,11,92,1,52
Graduation,Together,42011.0,1,0,131,0,16,2,1,39,1,36
Graduation,Together,51369.0,0,1,297,7,79,0,11,182,1,38
Graduation,Divorced,51537.0,0,1,787,20,204,0,0,92,1,62
PhD,Married,79930.0,0,0,792,86,740,67,51,17,0,42
PhD,Together,34320.0,1,0,4,1,9,3,0,0,1,28
Graduation,Single,37070.0,1,1,231,7,137,4,15,39,2,48
2n Cycle,Divorced,81975.0,0,1,983,76,184,180,138,27,1,52
Graduation,Together,38590.0,1,0,3,1,8,4,3,3,1,43
Graduation,Single,15033.0,0,0,0,4,5,6,0,4,0,63
PhD,Married,62745.0,0,1,562,21,464,28,10,32,1,49
2n Cycle,Married,22212.0,1,0,5,9,20,6,8,21,1,39
Master,Together,23661.0,1,0,18,0,4,0,0,1,1,32
PhD,Single,79761.0,0,1,415,5,124,15,35,11,1,56
Graduation,Single,7500.0,1,0,5,3,10,12,7,20,1,41
Graduation,Widow,73455.0,0,0,901,61,757,186,163,20,0,46
Graduation,Together,64961.0,0,1,382,114,276,75,124,38,1,56
Graduation,Single,22804.0,1,0,14,1,7,2,1,1,1,43
Graduation,Married,73687.0,0,0,559,153,503,218,13,181,0,24
Graduation,Married,61074.0,0,1,789,0,133,0,28,152,1,56
PhD,Married,31686.0,1,1,11,0,5,0,0,1,2,50
Graduation,Married,80134.0,1,0,1218,16,272,104,0,80,1,42
Graduation,Married,75027.0,0,1,925,64,179,133,12,77,1,61
PhD,Married,67546.0,0,0,864,134,768,150,38,172,0,26
Master,Together,65176.0,0,1,960,28,183,220,70,70,1,45
Master,Single,31160.0,1,0,16,3,25,6,1,13,1,39
Graduation,Single,29938.0,1,0,3,3,7,0,2,11,1,29
Graduation,Divorced,102692.0,0,0,168,148,444,32,172,148,0,40
2n Cycle,Together,26490.0,0,0,45,47,52,21,20,25,0,56
Graduation,Together,75702.0,1,1,650,28,353,45,42,30,2,47
PhD,Single,30899.0,1,0,24,0,8,0,0,1,1,40
PhD,Together,63342.0,0,1,918,21,118,13,10,21,1,53
Graduation,Single,45989.0,0,1,138,33,87,28,24,12,1,50
Graduation,Single,18701.0,1,1,12,4,2,10,6,10,2,50
PhD,Single,40737.0,2,1,11,0,4,0,0,2,3,57
Graduation,Divorced,15287.0,1,0,1,2,8,4,3,13,1,35
PhD,Divorced,69674.0,0,2,554,41,215,11,0,24,2,46
Master,Married,44159.0,1,0,167,2,62,24,13,7,1,44
PhD,Married,37717.0,1,0,9,0,6,4,1,5,1,36
Master,Together,43776.0,1,1,177,2,71,3,2,20,2,62
Master,Married,38179.0,1,1,38,4,22,4,2,20,2,48
Graduation,Married,80124.0,0,0,483,84,398,205,84,241,0,51
PhD,Married,38097.0,1,1,77,2,35,0,1,69,2,44
Graduation,Married,72940.0,0,0,182,74,298,162,149,116,0,44
Graduation,Together,22070.0,1,0,10,7,19,8,2,21,1,44
Graduation,Single,69267.0,0,0,778,44,499,95,73,146,0,61
Master,Single,31788.0,1,0,16,7,23,0,8,6,1,31
PhD,Together,61905.0,0,1,167,0,43,6,2,13,1,39
Graduation,Married,29315.0,1,1,13,2,14,8,7,4,2,54
Graduation,Divorced,33378.0,1,1,33,6,40,3,7,10,2,51
PhD,Together,66313.0,0,1,625,7,99,10,22,7,1,51
Graduation,Single,60714.0,0,0,216,162,224,101,92,162,0,58
Master,Together,77882.0,0,0,68,129,396,188,22,15,0,33
PhD,Single,69867.0,0,0,196,0,512,33,130,54,0,28
Master,Divorced,63841.0,0,1,635,15,100,20,7,131,1,46
Basic,Married,24480.0,1,0,4,19,9,28,25,17,1,33
Graduation,Together,51369.0,0,1,297,7,79,0,11,182,1,38
Graduation,Together,37760.0,0,0,84,5,38,150,12,28,0,68
PhD,Together,65640.0,0,1,204,7,149,20,15,66,1,40
Master,Married,44319.0,1,1,26,0,8,0,0,3,2,39
Graduation,Married,30631.0,1,0,15,6,20,4,5,20,1,40
Graduation,Together,75278.0,0,0,304,98,230,150,74,74,0,62
Master,Together,50898.0,1,1,285,28,242,55,114,135,2,58
Graduation,Widow,79946.0,0,0,395,183,565,166,141,28,0,48
Master,Divorced,35416.0,0,0,248,3,81,4,3,51,0,65
2n Cycle,Together,32414.0,0,0,20,6,5,0,9,12,0,30
Graduation,Together,38361.0,1,0,39,0,56,20,8,14,1,45
Graduation,Married,82497.0,0,0,777,129,573,216,21,203,0,34
Graduation,Together,16626.0,2,0,8,3,22,21,1,13,2,43
Graduation,Together,29672.0,1,1,9,1,3,0,4,8,2,49
Master,Together,55951.0,0,1,1241,0,80,0,13,40,1,62
2n Cycle,Divorced,35388.0,1,0,6,4,7,4,3,8,1,26
Master,Together,42386.0,1,0,65,4,16,0,4,11,1,28
Graduation,Single,68627.0,0,0,395,15,263,60,54,38,0,32
PhD,Divorced,57912.0,0,1,801,0,80,0,0,35,1,49
Graduation,Divorced,35246.0,1,1,36,0,12,2,2,10,2,56
2n Cycle,Together,58821.0,0,1,513,14,154,19,0,28,1,58
PhD,Married,46377.0,1,0,37,0,46,4,3,0,1,36
Graduation,Single,39747.0,1,0,80,15,93,20,13,52,1,26
Graduation,Together,23976.0,1,0,14,1,21,2,3,25,1,30
Master,Married,80950.0,0,0,525,147,112,219,147,63,0,53
Graduation,Widow,27038.0,0,0,1,26,25,17,23,15,0,48
Graduation,Single,77457.0,0,0,675,11,400,15,45,11,0,67
Master,Married,64100.0,0,1,509,0,27,0,0,10,1,50
Master,Together,42670.0,0,0,154,2,46,20,4,15,0,22
Graduation,Divorced,12571.0,1,0,3,5,14,2,12,17,1,38
Graduation,Married,22574.0,2,1,25,0,8,2,0,2,3,47
Master,Single,70893.0,0,0,768,44,561,77,44,14,0,38
Graduation,Married,54198.0,1,1,185,0,28,3,2,17,2,48
Master,Together,28839.0,1,1,24,0,7,0,0,1,2,58
Graduation,Married,40321.0,1,1,44,4,21,6,0,27,2,42
Graduation,Single,66503.0,1,0,91,64,128,65,3,50,1,29
Graduation,Married,30833.0,1,1,11,0,7,3,1,6,2,63
Graduation,Married,64795.0,0,1,412,5,119,38,29,77,1,43
Graduation,Married,34421.0,1,0,3,3,7,6,2,9,1,40
PhD,Divorced,47025.0,1,1,16,0,3,0,0,1,2,49
PhD,Divorced,64325.0,0,1,731,60,353,78,12,73,1,53
Graduation,Single,40464.0,0,1,424,17,118,7,23,41,1,61
Graduation,Married,62187.0,0,0,792,0,275,45,45,126,0,57
PhD,Divorced,14849.0,1,0,21,2,28,3,2,9,1,38
Graduation,Married,27255.0,1,0,22,1,11,0,1,2,1,30
PhD,Married,54432.0,2,1,33,0,5,0,0,0,3,64
PhD,Single,29999.0,1,0,68,7,59,10,5,11,1,28
Graduation,Single,24072.0,1,0,9,1,6,3,0,4,1,31
PhD,Single,33996.0,0,0,40,2,15,8,0,6,0,25
PhD,Married,66334.0,0,1,909,11,218,0,0,23,1,58
Master,Married,35178.0,1,0,23,1,13,2,2,18,1,43
Graduation,Together,22010.0,1,0,11,2,9,3,0,8,1,31
Graduation,Divorced,62204.0,0,2,317,46,247,151,46,139,2,54
Graduation,Divorced,75693.0,0,0,797,153,293,72,97,30,0,46
Graduation,Married,30675.0,1,0,10,2,16,11,2,21,1,42
Graduation,Together,83003.0,0,0,856,61,570,40,25,122,0,49
Graduation,Single,68655.0,0,0,456,19,832,75,118,38,0,26
Graduation,Divorced,41411.0,0,0,37,32,38,11,3,18,0,28
PhD,Married,55212.0,0,1,1103,0,45,0,0,34,1,45
PhD,Together,59292.0,0,1,378,14,68,19,14,14,1,64
Basic,Together,27190.0,1,0,1,6,7,0,1,3,1,41
Graduation,Divorced,82623.0,0,0,204,34,204,172,153,173,0,62
Graduation,Married,44300.0,1,1,30,0,9,0,0,3,2,49
Graduation,Divorced,84835.0,0,0,189,104,379,111,189,218,0,44
Graduation,Widow,30372.0,1,1,15,0,12,7,3,7,2,43
Master,Married,33181.0,1,0,9,0,3,0,0,4,1,38
Graduation,Married,71113.0,0,1,495,33,255,11,33,8,1,57
Graduation,Married,71952.0,1,0,656,80,455,52,107,93,1,28
PhD,Single,69759.0,0,0,452,20,514,13,30,0,0,48
Graduation,Married,72099.0,0,0,546,91,410,119,0,22,0,40
PhD,Single,60000.0,0,1,1048,0,217,0,0,12,1,38
Graduation,Single,38643.0,1,1,22,2,14,0,1,10,2,36
Graduation,Married,50737.0,0,1,78,0,11,0,0,10,1,59
PhD,Married,68462.0,0,0,561,64,785,84,128,48,0,45
Master,Married,65073.0,0,0,629,17,177,69,0,8,0,71
PhD,Together,46681.0,0,2,269,15,69,15,19,38,2,66
Graduation,Married,78618.0,0,0,736,163,818,212,163,61,0,57
PhD,Widow,62187.0,0,1,512,0,83,0,0,41,1,45
Graduation,Married,28442.0,2,0,19,3,10,11,8,6,2,36
PhD,Married,37717.0,1,0,9,0,6,4,1,5,1,36
Graduation,Married,51479.0,1,1,247,8,160,6,8,65,2,47
Graduation,Single,54803.0,0,1,404,0,92,28,27,142,1,45
Graduation,Married,79530.0,0,0,333,0,815,129,42,29,0,54
Graduation,Divorced,31615.0,1,0,2,3,20,6,11,9,1,38
Graduation,Together,72025.0,0,0,833,33,549,151,133,233,0,52
PhD,Single,52614.0,0,1,789,0,142,12,9,38,1,39
2n Cycle,Married,35684.0,1,0,10,4,7,0,6,3,1,30
Graduation,Married,48178.0,1,1,159,4,45,6,2,38,2,39
Master,Single,29548.0,1,0,7,1,6,3,1,11,1,44
Graduation,Single,63810.0,0,1,977,12,253,16,12,101,1,48
PhD,Single,38578.0,1,1,38,4,22,3,3,3,2,42
Master,Single,46098.0,1,1,57,0,27,0,0,36,2,39
Graduation,Single,22585.0,0,0,3,9,15,13,2,39,0,44
Graduation,Single,30279.0,1,0,10,4,14,4,4,1,1,25
PhD,Together,66426.0,0,1,1043,24,97,32,24,157,1,53
Graduation,Single,30822.0,1,0,3,9,13,2,12,12,1,45
PhD,Married,33581.0,2,0,11,0,5,0,0,1,2,45
Graduation,Married,19986.0,1,0,3,6,5,0,2,6,1,29
Graduation,Widow,27421.0,0,0,43,12,96,78,40,55,0,60
2n Cycle,Married,35688.0,2,1,73,3,90,12,1,32,3,41
Master,Single,36143.0,1,0,12,0,1,0,0,6,1,33
Graduation,Single,10245.0,1,0,4,7,7,6,4,13,1,43
Master,Together,43795.0,0,1,314,11,53,4,3,107,1,46
Graduation,Together,63381.0,0,1,571,50,142,33,50,159,1,54
Graduation,Together,38823.0,0,1,70,0,11,2,8,23,1,65
PhD,Divorced,83664.0,1,1,866,21,151,28,21,86,2,46
Graduation,Together,90300.0,0,0,594,134,786,33,134,57,0,35
Master,Together,62499.0,1,0,140,4,61,0,13,4,1,35
Graduation,Single,74293.0,0,0,375,152,335,93,91,81,0,21
PhD,Married,51012.0,0,0,102,9,63,2,9,24,0,68
Master,Married,70777.0,0,1,554,35,113,0,7,78,1,46
PhD,Together,68682.0,0,0,919,0,505,99,30,45,0,23
Graduation,Married,43824.0,1,1,96,1,42,12,3,32,2,43
Graduation,Together,15345.0,1,0,5,2,16,3,2,19,1,30
Graduation,Single,23442.0,1,0,2,0,6,8,6,5,1,27
2n Cycle,Together,14515.0,1,0,6,4,9,6,36,35,1,34
2n Cycle,Divorced,31395.0,1,1,23,1,25,0,8,7,2,58
Graduation,Together,75276.0,0,0,610,105,125,137,42,21,0,49
Graduation,Single,42373.0,1,1,67,5,61,3,8,19,2,40
Graduation,Together,30507.0,0,0,65,36,74,38,20,110,0,54
PhD,Single,55521.0,1,2,416,0,26,0,0,4,3,59
Graduation,Married,48006.0,1,1,23,0,11,3,2,2,2,49
PhD,Single,27213.0,1,0,19,3,26,10,9,3,1,42
PhD,Divorced,65808.0,1,1,155,7,80,13,7,10,2,43
PhD,Together,30351.0,1,0,14,0,24,3,3,2,1,40
Graduation,Married,50437.0,0,2,370,9,92,6,9,4,2,51
2n Cycle,Single,23616.0,1,0,4,22,11,3,7,32,1,32
Graduation,Married,53858.0,0,1,407,53,221,58,150,26,1,38
PhD,Married,66465.0,0,1,1200,0,204,38,29,14,1,59
Graduation,Single,46923.0,1,0,85,44,54,102,78,6,1,27
Graduation,Together,75072.0,0,1,583,34,309,0,22,125,1,52
PhD,Married,75865.0,0,0,483,0,591,156,0,12,0,71
2n Cycle,Together,19789.0,1,0,2,5,9,28,6,28,1,39
Graduation,Together,80134.0,0,0,966,26,282,52,26,26,0,20
Graduation,Single,91065.0,0,0,822,114,108,179,137,114,0,33
Master,Married,49505.0,1,1,604,0,100,19,0,28,2,43
PhD,Married,37401.0,1,0,19,3,19,3,1,3,1,41
Graduation,Married,30096.0,1,0,5,3,11,12,5,9,1,31
Master,Together,18492.0,1,0,2,2,2,2,1,1,1,32
Master,Married,82584.0,0,0,1076,68,103,29,91,68,0,40
PhD,Married,93027.0,0,0,1285,42,716,55,0,21,0,73
Graduation,Married,48686.0,1,2,10,0,7,2,0,1,3,61
Graduation,Married,92910.0,0,0,551,137,792,179,103,33,0,28
Graduation,Married,75433.0,1,0,800,0,297,0,34,57,1,25
2n Cycle,Together,10404.0,1,0,2,2,11,10,6,12,1,25
Graduation,Married,61314.0,0,1,378,0,189,97,172,172,1,46
PhD,Single,84865.0,0,0,1248,16,349,43,16,16,0,53
Graduation,Married,42387.0,1,0,235,0,235,19,4,191,1,25
2n Cycle,Together,67309.0,1,1,515,47,181,149,95,95,2,47
Graduation,Married,75236.0,0,1,438,66,400,12,38,114,1,50
Graduation,Single,30015.0,1,0,25,0,22,2,3,5,1,44
Master,Together,50943.0,0,1,31,0,7,2,0,6,1,58
Graduation,Divorced,67272.0,0,1,357,35,271,28,28,14,1,48
Master,Widow,51529.0,0,1,400,4,35,6,0,22,1,65
PhD,Married,32011.0,1,0,99,0,15,2,1,5,1,43
2n Cycle,Married,7500.0,1,0,1,11,5,4,6,9,1,28
